codDepartamento;departamento;codCiudad;Ciudad
05;ANTIOQUIA;05001;MEDELLIN
05;ANTIOQUIA;05002;ABEJORRAL
05;ANTIOQUIA;05004;ABRIAQUI
05;ANTIOQUIA;05021;ALEJANDRIA
05;ANTIOQUIA;05030;AMAGA
05;ANTIOQUIA;05031;AMALFI
05;ANTIOQUIA;05034;ANDES
05;ANTIOQUIA;05036;ANGELOPOLIS
05;ANTIOQUIA;05038;ANGOSTURA
05;ANTIOQUIA;05040;ANORI
05;ANTIOQUIA;05042;SANTAFE DE ANTIOQUIA
05;ANTIOQUIA;05044;ANZA
05;ANTIOQUIA;05045;APARTADO
05;ANTIOQUIA;05051;ARBOLETES
05;ANTIOQUIA;05055;ARGELIA
05;ANTIOQUIA;05059;ARMENIA
05;ANTIOQUIA;05079;BARBOSA
05;ANTIOQUIA;05086;BELMIRA
05;ANTIOQUIA;05088;BELLO
05;ANTIOQUIA;05091;BETANIA
05;ANTIOQUIA;05093;BETULIA
05;ANTIOQUIA;05101;CIUDAD BOLIVAR
05;ANTIOQUIA;05107;BRICEÑO
05;ANTIOQUIA;05113;BURITICA
05;ANTIOQUIA;05120;CACERES
05;ANTIOQUIA;05125;CAICEDO
05;ANTIOQUIA;05129;CALDAS
05;ANTIOQUIA;05134;CAMPAMENTO
05;ANTIOQUIA;05138;CAÑASGORDAS
05;ANTIOQUIA;05142;CARACOLI
05;ANTIOQUIA;05145;CARAMANTA
05;ANTIOQUIA;05147;CAREPA
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL
05;ANTIOQUIA;05150;CAROLINA
05;ANTIOQUIA;05154;CAUCASIA
05;ANTIOQUIA;05172;CHIGORODO
05;ANTIOQUIA;05190;CISNEROS
05;ANTIOQUIA;05197;COCORNA
05;ANTIOQUIA;05206;CONCEPCION
05;ANTIOQUIA;05209;CONCORDIA
05;ANTIOQUIA;05212;COPACABANA
05;ANTIOQUIA;05234;DABEIBA
05;ANTIOQUIA;05237;DON MATIAS
05;ANTIOQUIA;05240;EBEJICO
05;ANTIOQUIA;05250;EL BAGRE
05;ANTIOQUIA;05264;ENTRERRIOS
05;ANTIOQUIA;05266;ENVIGADO
05;ANTIOQUIA;05282;FREDONIA
05;ANTIOQUIA;05284;FRONTINO
05;ANTIOQUIA;05306;GIRALDO
05;ANTIOQUIA;05308;GIRARDOTA
05;ANTIOQUIA;05310;GOMEZ PLATA
05;ANTIOQUIA;05313;GRANADA
05;ANTIOQUIA;05315;GUADALUPE
05;ANTIOQUIA;05318;GUARNE
05;ANTIOQUIA;05321;GUATAPE
05;ANTIOQUIA;05347;HELICONIA
05;ANTIOQUIA;05353;HISPANIA
05;ANTIOQUIA;05360;ITAGUI
05;ANTIOQUIA;05361;ITUANGO
05;ANTIOQUIA;05364;JARDIN
05;ANTIOQUIA;05368;JERICO
05;ANTIOQUIA;05376;LA CEJA
05;ANTIOQUIA;05380;LA ESTRELLA
05;ANTIOQUIA;05390;LA PINTADA
05;ANTIOQUIA;05400;LA UNION
05;ANTIOQUIA;05411;LIBORINA
